Gender,Age,Edu,Area,Training,T-Age,Identity,Farm Cooperative,FP
1,45,15,2.5,1,4.5,0,0,1
1,55,9,15,0,7.5,1,0,1
1,48,9,7.5,0,2,0,0,1
0,56,6,2.5,0,4.5,1,0,1
0,56,6,15,0,4.5,0,1,1
1,52,9,7.5,0,7.5,1,0,1
1,48,9,2.5,1,2,1,1,0
0,56,6,7.5,1,4.5,0,0,1
1,49,12,2.5,1,4.5,1,0,1
1,59,15,2.5,1,10,0,1,0
1,52,15,400,1,7.5,0,0,0
1,59,12,7.5,1,10,1,1,1
1,53,9,2.5,1,10,0,0,1
1,58,12,7.5,0,10,1,0,1
1,38,9,7.5,1,4.5,1,0,0
1,60,12,15,1,7.5,1,0,1
0,56,6,2.5,0,10,1,1,0
1,54,6,7.5,0,7.5,1,0,1
1,56,9,7.5,0,7.5,1,0,1
1,57,6,2.5,0,10,1,0,1
1,56,9,7.5,0,10,1,1,1
1,62,9,2.5,1,7.5,1,0,1
1,58,6,7.5,0,7.5,1,0,0
1,57,9,15,0,10,1,0,0
1,59,9,7.5,0,7.5,1,0,0
1,48,12,15,0,10,1,1,1
1,45,9,15,1,7.5,1,0,0
0,54,15,7.5,1,7.5,1,0,1
1,46,12,7.5,1,10,1,0,1
1,44,9,25,1,7.5,1,0,0
1,56,9,15,1,10,1,1,1
1,55,6,15,1,7.5,1,0,0
1,58,6,25,0,10,1,1,0
1,53,9,15,1,7.5,1,1,0
1,59,9,40,1,10,1,1,1
1,56,9,15,1,10,1,0,0
1,62,6,7.5,1,10,1,1,0
1,54,9,7.5,1,7.5,1,0,1
1,35,12,15,0,7.5,1,1,0
1,50,6,15,0,7.5,1,1,0
1,54,9,15,0,10,1,0,1
1,53,9,7.5,0,7.5,1,1,0
1,55,12,25,0,7.5,1,1,0
1,52,6,40,1,10,1,1,0
1,45,15,25,1,10,1,1,0
1,62,6,75,1,10,1,1,0
